pignum,time,treatment,set,formate,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,fumarate,lactate,total
450,7,Zn+Cu,7_Zn+Cu,0,91.21146,37.23966,4.435499999999999,25.416510000000002,5.77149,7.84614,0.68221,0,1.52976,1.5567000000000002,0.17865,11.426820000000001,187.2949
472,7,Zn+Cu,7_Zn+Cu,0,81.86892000000002,45.97929,1.9551599999999998,15.33606,2.3281199999999997,13.940100000000001,1.7324200000000003,0,0.7094100000000001,2.0784599999999998,0.20916,5.62185,171.75895000000003
43,7,RCS,7_RCS,1.91256,84.6954,42.04209,4.19325,15.558330000000002,5.08917,8.68944,2.2866999999999997,0,1.31769,2.29479,0.20745000000000002,11.12829,179.41516000000001
65,7,RCS,7_RCS,0,83.02872,47.02713,3.5910900000000003,26.354280000000003,4.15998,14.450490000000002,2.8419099999999995,0,1.10814,2.7819000000000003,0.22296,13.83342,199.40002
119,7,RCS,7_RCS,2.52453,88.43937000000001,29.055570000000003,4.76046,17.86803,7.228829999999999,6.9232499999999995,2.47837,0,1.8328200000000001,1.72614,0.26811,6.9396,170.04508
138,7,RCS,7_RCS,4.15404,70.00467,27.28161,2.87025,13.74081,2.81616,7.0759799999999995,2.84314,0.38805,0.8903099999999999,2.3780400000000004,0.23210999999999998,13.32678,148.00195
175,7,RCS,7_RCS,2.76528,76.38126000000001,29.31465,3.91275,14.94723,5.5359,5.693160000000001,1.9874800000000001,0,1.46853,1.9986000000000002,0.26366999999999996,6.11193,150.38044000000002
198,7,RCS,7_RCS,4.58826,83.23158000000001,38.53056,1.7212800000000001,10.26651,1.83528,5.34753,0.12457000000000001,0,0.58653,2.8113,0.23091,11.775660000000002,161.04997
397,7,RCS,7_RCS,2.2897499999999997,67.98438,25.03311,2.43792,7.8194099999999995,2.78499,4.42992,1.14082,0.45759,0.8964599999999999,5.0862300000000005,0.23760000000000003,24.35352,144.9517
453,7,RCS,7_RCS,0.88077,38.09802,13.109189999999998,1.5266699999999997,6.80175,1.9717799999999999,1.9954199999999997,0.7037800000000001,0,0.57597,0.81477,0.10113,10.76253,77.34178
469,7,RCS,7_RCS,0,78.30705,34.018919999999994,3.73413,23.07426,4.43244,7.656270000000001,3.40906,0,1.2000000000000002,1.8873600000000001,0,15.27915,172.99864
6,7,Bglu,7_Bglu,2.44251,77.26479,32.239110000000004,3.66702,10.33323,4.044510000000001,6.40305,1.34749,0,1.06377,3.51285,0.2445,9.208680000000001,151.77151
144,7,Bglu,7_Bglu,2.59017,101.92338000000002,38.96214,6.7953600000000005,22.90473,11.00844,10.34433,2.55022,0,2.8278299999999996,2.2471200000000002,0.29088,2.97009,205.41469
228,7,Bglu,7_Bglu,2.78349,79.21761000000001,35.57694,3.483,10.279020000000001,4.2664800000000005,5.56161,0.70987,0,1.21983,1.81899,0.37712999999999997,2.66538,147.95935
240,7,Bglu,7_Bglu,0,80.57031,25.962690000000002,3.6880200000000003,11.57898,6.02622,4.40859,1.2084699999999997,0,1.6722899999999998,1.00269,0.20673,1.9365900000000003,138.26158
253,7,Bglu,7_Bglu,3.66003,64.92525,40.31178,1.77933,11.447700000000001,1.15032,8.37264,0.6449799999999999,0,0.43587,1.97505,0.28071,3.47058,138.45424
461,7,Bglu,7_Bglu,1.7891400000000002,84.26136000000001,42.11136,5.0682,16.97277,5.86869,10.15035,1.9627599999999998,0,1.6408500000000001,4.0448699999999995,0.30300000000000005,18.0429,192.21625
8,7,Bglu,7_Bglu,2.74398,77.38485,30.61788,3.3694500000000005,9.549209999999999,5.29512,6.84918,1.5117399999999999,0.47352000000000005,1.51242,3.72978,0,2.57586,145.61299
141,7,Bglu,7_Bglu,2.81661,61.42698,32.43213,1.41141,6.30762,0.9219599999999999,4.5172799999999995,0.13117000000000006,0,0.36783,2.70654,0.21986999999999998,4.34043,117.59983
226,7,Bglu,7_Bglu,2.42484,91.13391,41.72058,5.35497,16.6662,7.422750000000001,9.40992,2.45539,0,1.86111,3.02454,0.29937,6.42189,188.19547
237,7,Bglu,7_Bglu,1.40556,78.21543000000001,28.859070000000003,2.49774,13.656360000000001,2.53659,4.1688600000000005,0.27475,0.32772,0.74226,3.6142199999999995,0.18003,17.45892,153.93751
77,14,control,14_control,2.12547,99.23727000000001,44.41497,5.4639299999999995,36.05196,6.9461699999999995,7.812059999999999,1.9897,0,1.7873700000000001,1.8288000000000002,0.17349,0.5219100000000001,208.3531
87,14,control,14_control,1.60548,64.47804000000001,21.064709999999998,3.82038,14.98743,4.141019999999999,3.91596,0.4374700000000001,0,1.18917,0.5282100000000001,0.28851000000000004,0.44582999999999995,116.90221000000001
122,14,control,14_control,1.19769,93.91749000000002,53.26022999999999,4.95798,36.096360000000004,6.828570000000001,10.91775,1.47322,0,1.78746,1.67316,0.22602,1.26183,213.59776000000002
160,14,control,14_control,1.05864,70.77279,24.62334,3.23532,12.35679,5.2635,3.5780700000000003,0.6880299999999999,0,1.4283299999999999,1.0941299999999998,0,0,124.09894
191,14,control,14_control,1.70925,67.04298000000001,29.813280000000002,3.50835,14.08269,4.22874,4.84323,0.80446,0,1.16628,1.2219,0.29019,0,128.71135
224,14,control,14_control,1.9672500000000002,107.60466000000001,39.20028,5.62791,26.74563,7.04574,6.5928,1.10773,0,1.93431,1.67142,0.27098999999999995,0.49014,200.25886
337,14,control,14_control,1.8333300000000001,68.53296,42.104820000000004,3.5622599999999998,19.545450000000002,4.02345,9.818430000000001,0.7991199999999998,0,1.00665,1.22415,0,0.43272,152.88334
345,14,control,14_control,1.5392100000000002,79.34139,33.92493,5.62143,20.89851,8.13408,7.065719999999999,2.1957400000000002,0,1.9494000000000002,1.62396,0.25005,0,162.54442
419,14,control,14_control,2.60961,99.41226000000002,42.825810000000004,6.2105999999999995,31.494149999999998,8.54016,8.92818,3.1946200000000005,0,2.18121,1.9398,0.25266,0.5328,208.12186000000003
458,14,control,14_control,1.03014,80.44338,25.91304,3.22449,15.9786,4.0893,3.95439,1.65082,0,1.29696,0.84375,0.31445999999999996,0.37734,139.11667
